chunk_id,content_type,text,section,concepts,learning_objectives,metadata,image_url,image_description
1.1_content_7,text,"About 80% of patients with bacterial meningitis will show bacteria in their CSF with a Gram stain.2 Cora’s Gram stain did not show any bacteria, but her doctor decides to prescribe her antibiotics just in case. Part of the CSF sample will be cultured—put in special dishes to see if bacteria or fungi will grow. It takes some time for most microorganisms to reproduce in sufficient quantities to be detected and analyzed.",1.1 What Our Ancestors Knew,"['organ', 'organism']","['Describe how our ancestors improved food with the use of invisible microbes', 'Describe how the causes of sickness and disease were explained in ancient times, prior to the invention of the microscope', 'Describe key historical events associated with the birth of microbiology']","{'chapter': 'An Invisible World', 'section_id': '1.1', 'chunk_type': 'content_paragraph'}",,
1.1_content_9,text,"Most people today, even those who know very little about microbiology, are familiar with the concept of microbes, or “germs,” and their role in human health. Schoolchildren learn about bacteria, viruses, and other microorganisms, and many even view specimens under a microscope. But a few hundred years ago, before the invention of the microscope, the existence of many types of microbes was impossible to prove. By definition, microorganisms, or microbes, are very small organisms; many types of microbes are too small to see without a microscope, although some parasites and fungi are visible to the naked eye.",1.1 What Our Ancestors Knew,"['organ', 'organism']","['Describe how our ancestors improved food with the use of invisible microbes', 'Describe how the causes of sickness and disease were explained in ancient times, prior to the invention of the microscope', 'Describe key historical events associated with the birth of microbiology']","{'chapter': 'An Invisible World', 'section_id': '1.1', 'chunk_type': 'content_paragraph'}",,
1.1_content_10,text,"Humans have been living with—and using—microorganisms for much longer than they have been able to see them. Historical evidence suggests that humans have had some notion of microbial life since prehistoric times and have used that knowledge to develop foods as well as prevent and treat disease. In this section, we will explore some of the historical applications of microbiology as well as the early beginnings of microbiology as a science.",1.1 What Our Ancestors Knew,"['organ', 'organism']","['Describe how our ancestors improved food with the use of invisible microbes', 'Describe how the causes of sickness and disease were explained in ancient times, prior to the invention of the microscope', 'Describe key historical events associated with the birth of microbiology']","{'chapter': 'An Invisible World', 'section_id': '1.1', 'chunk_type': 'content_paragraph'}",,
1.1_heading_11,heading,Fermented Foods and Beverages,1.1 What Our Ancestors Knew,[],"['Describe how our ancestors improved food with the use of invisible microbes', 'Describe how the causes of sickness and disease were explained in ancient times, prior to the invention of the microscope', 'Describe key historical events associated with the birth of microbiology']","{'chapter': 'An Invisible World', 'section_id': '1.1', 'chunk_type': 'heading', 'heading_level': 'h2'}",,
1.1_content_12,text,"People across the world have enjoyed fermented foods and beverages like beer, wine, bread, yogurt, cheese, and pickled vegetables for all of recorded history. Discoveries from several archeological sites suggest that even prehistoric people took advantage of fermentation to preserve and enhance the taste of food. Archaeologists studying pottery jars from a Neolithic village in China found that people were making a fermented beverage from rice, honey, and fruit as early as 7000 BC.3",1.1 What Our Ancestors Knew,[],"['Describe how our ancestors improved food with the use of invisible microbes', 'Describe how the causes of sickness and disease were explained in ancient times, prior to the invention of the microscope', 'Describe key historical events associated with the birth of microbiology']","{'chapter': 'An Invisible World', 'section_id': '1.1', 'chunk_type': 'content_paragraph'}",,
1.1_content_13,text,"Production of these foods and beverages requires microbial fermentation, a process that uses bacteria, mold, or yeast to convert sugars (carbohydrates) to alcohol, gases, and organic acids (Figure 1.3). While it is likely that people first learned about fermentation by accident—perhaps by drinking old milk that had curdled or old grape juice that had fermented—they later learned to harness the power of fermentation to make products like bread, cheese, and wine.",1.1 What Our Ancestors Knew,['organ'],"['Describe how our ancestors improved food with the use of invisible microbes', 'Describe how the causes of sickness and disease were explained in ancient times, prior to the invention of the microscope', 'Describe key historical events associated with the birth of microbiology']","{'chapter': 'An Invisible World', 'section_id': '1.1', 'chunk_type': 'content_paragraph'}",,
1.1_heading_14,heading,The Iceman and Evidence of Early Treatments,1.1 What Our Ancestors Knew,[],"['Describe how our ancestors improved food with the use of invisible microbes', 'Describe how the causes of sickness and disease were explained in ancient times, prior to the invention of the microscope', 'Describe key historical events associated with the birth of microbiology']","{'chapter': 'An Invisible World', 'section_id': '1.1', 'chunk_type': 'heading', 'heading_level': 'h2'}",,
1.1_content_15,text,"Prehistoric humans had a very limited understanding of the causes of disease, and various cultures developed different beliefs and explanations. While many believed that illness was punishment for angering the gods or was simply the result of fate, archaeological evidence suggests that prehistoric people attempted to treat illnesses and infections. One example of this is Ötzi the Iceman, a 5300-year-old mummy found frozen in the ice of the Ötzal Alps on the Austrian-Italian border in 1991. Because Ötzi was so well preserved by the ice, researchers discovered that he was infected with the eggs of the parasite Trichuris trichiura, which may have caused him to have abdominal pain and anemia. Researchers also found evidence of Borrelia burgdorferi, a bacterium that causes Lyme disease.4 Some researchers think Ötzi may have been trying to treat his infections with the woody fruit of the Fomitopsis betulinus fungus, which was discovered tied to his belongings. This fungus has both laxative and antibiotic properties. Ötzi was also covered in tattoos that were made by cutting incisions into his skin, filling them with herbs, and then burning the herbs.5 There is speculation that this may have been another attempt to treat his health ailments.",1.1 What Our Ancestors Knew,[],"['Describe how our ancestors improved food with the use of invisible microbes', 'Describe how the causes of sickness and disease were explained in ancient times, prior to the invention of the microscope', 'Describe key historical events associated with the birth of microbiology']","{'chapter': 'An Invisible World', 'section_id': '1.1', 'chunk_type': 'content_paragraph'}",,
1.1_heading_16,heading,"Early Notions of Disease, Contagion, and Containment",1.1 What Our Ancestors Knew,[],"['Describe how our ancestors improved food with the use of invisible microbes', 'Describe how the causes of sickness and disease were explained in ancient times, prior to the invention of the microscope', 'Describe key historical events associated with the birth of microbiology']","{'chapter': 'An Invisible World', 'section_id': '1.1', 'chunk_type': 'heading', 'heading_level': 'h2'}",,
1.1_content_17,text,"Several ancient civilizations appear to have had some understanding that disease could be transmitted by things they could not see. This is especially evident in historical attempts to contain the spread of disease. For example, the Bible refers to the practice of quarantining people with leprosy and other diseases, suggesting that people understood that diseases could be communicable. Ironically, while leprosy is communicable, it is also a disease that progresses slowly. This means that people were likely quarantined after they had already spread the disease to others.",1.1 What Our Ancestors Knew,[],"['Describe how our ancestors improved food with the use of invisible microbes', 'Describe how the causes of sickness and disease were explained in ancient times, prior to the invention of the microscope', 'Describe key historical events associated with the birth of microbiology']","{'chapter': 'An Invisible World', 'section_id': '1.1', 'chunk_type': 'content_paragraph'}",,
1.1_content_18,text,"Clean water and sanitation are among the most important elements of healthy societies. The earliest examples of urban sanitation systems are from the ancient Indus Valley Civilization cities of Mohenjo-daro and Harappa, located in current-day Pakistan. Constructed in 2500 BCE (about 4,500 years ago), the cities had complex networks of wells, baths, and drainage systems that stored fresh water and carried waste away.  About two thousand years later, people in the ancient Greek civilization attributed disease to bad air, mal’aria, which they called “miasmatic odors.” They developed hygiene practices that built on this idea. In Rome, they built aqueducts, which brought fresh water into the city, and a giant sewer, the Cloaca Maxima, which carried waste away and into the river Tiber (Figure 1.4). Some researchers believe that this infrastructure helped protect the Romans from epidemics of waterborne illnesses.",1.1 What Our Ancestors Knew,[],"['Describe how our ancestors improved food with the use of invisible microbes', 'Describe how the causes of sickness and disease were explained in ancient times, prior to the invention of the microscope', 'Describe key historical events associated with the birth of microbiology']","{'chapter': 'An Invisible World', 'section_id': '1.1', 'chunk_type': 'content_paragraph'}",,
1.1_content_19,text,"Even before the invention of the microscope, some doctors, philosophers, and scientists made great strides in understanding the invisible forces—what we now know as microbes—that can cause infection, disease, and death.",1.1 What Our Ancestors Knew,[],"['Describe how our ancestors improved food with the use of invisible microbes', 'Describe how the causes of sickness and disease were explained in ancient times, prior to the invention of the microscope', 'Describe key historical events associated with the birth of microbiology']","{'chapter': 'An Invisible World', 'section_id': '1.1', 'chunk_type': 'content_paragraph'}",,
1.1_content_20,text,"The Greek physician Hippocrates (460–370 BC) is considered the “father of Western medicine” (Figure 1.5). Unlike many of his ancestors and contemporaries, he dismissed the idea that disease was caused by supernatural forces. Instead, he posited that diseases had natural causes from within patients or their environments. Hippocrates and his heirs are believed to have written the Hippocratic Corpus, a collection of texts that make up some of the oldest surviving medical books.6 Hippocrates is also often credited as the author of the Hippocratic Oath, taken by new physicians to pledge their dedication to diagnosing and treating patients without causing harm.",1.1 What Our Ancestors Knew,[],"['Describe how our ancestors improved food with the use of invisible microbes', 'Describe how the causes of sickness and disease were explained in ancient times, prior to the invention of the microscope', 'Describe key historical events associated with the birth of microbiology']","{'chapter': 'An Invisible World', 'section_id': '1.1', 'chunk_type': 'content_paragraph'}",,
1.1_content_21,text,"While Hippocrates is considered the father of Western medicine, the Greek philosopher and historian Thucydides (460–395 BC) is considered the father of scientific history because he advocated for evidence-based analysis of cause-and-effect reasoning (Figure 1.5). Among his most important contributions are his observations regarding the Athenian plague that killed one-third of the population of Athens between 430 and 410 BC. Having survived the epidemic himself, Thucydides made the important observation that survivors did not get re-infected with the disease, even when taking care of actively sick people.7 This observation shows an early understanding of the concept of immunity.",1.1 What Our Ancestors Knew,['population'],"['Describe how our ancestors improved food with the use of invisible microbes', 'Describe how the causes of sickness and disease were explained in ancient times, prior to the invention of the microscope', 'Describe key historical events associated with the birth of microbiology']","{'chapter': 'An Invisible World', 'section_id': '1.1', 'chunk_type': 'content_paragraph'}",,
1.1_content_22,text,"Marcus Terentius Varro (116–27 BC) was a prolific Roman writer who was one of the first people to propose the concept that things we cannot see (what we now call microorganisms) can cause disease (Figure 1.5). In Res Rusticae (On Farming), published in 36 BC, he said that “precautions must also be taken in neighborhood swamps. . . because certain minute creatures [animalia minuta] grow there which cannot be seen by the eye, which float in the air and enter the body through the mouth and nose and there cause serious diseases.”8",1.1 What Our Ancestors Knew,"['organ', 'organism']","['Describe how our ancestors improved food with the use of invisible microbes', 'Describe how the causes of sickness and disease were explained in ancient times, prior to the invention of the microscope', 'Describe key historical events associated with the birth of microbiology']","{'chapter': 'An Invisible World', 'section_id': '1.1', 'chunk_type': 'content_paragraph'}",,
1.1_content_23,text,"Centuries later, Islamic scholars, mainly in Persia, built on the knowledge from Hippocrates as well as from Chinese and Indian medicine. Foremost among them was Abū Bakr al-Rāzī, usually refered to as al-Razi or by his Latinized name, Rhazes. He developed a range of experimental methods to test various aspects of medicine. For example, to select a location for a hospital, al-Razi hung raw meat around the city, and located the facility in the place where the meat took the longest to rot. He also was the first to distinguish measles and smallpox, and undertook experiments to determine which available treatments were most effective for each. While al-Razi did not have the technology to understand the role of microbes, his efforts to identify the causes of illnesses, rather than solely focusing on the symptoms, were highly influential.",1.1 What Our Ancestors Knew,[],"['Describe how our ancestors improved food with the use of invisible microbes', 'Describe how the causes of sickness and disease were explained in ancient times, prior to the invention of the microscope', 'Describe key historical events associated with the birth of microbiology']","{'chapter': 'An Invisible World', 'section_id': '1.1', 'chunk_type': 'content_paragraph'}",,
1.1_content_24,text,"Islamic physicians created one of the most important medical texts in history, the Canon of Medicine (Arabic: al-Qānūn fī al-Ṭibb). Compiled in 1025 by physician and philosopher Ibn Sina (often referred to as Avicenna), the encyclopedia included detailed descriptions of the parts of the body, a detailed account of over 800 medicinal substances, and pathologies of several illnesses organized by body part or health event. In the work, Ibn Sina described mechanisms of contagion, indicated that organisms could be infected by foreign substances, and that illness could be transmitted by breath. He is also credited with advancing the practice of isolating people who are sick, laying the foundation for historical and contemporary quarantine methods. The Canon was translated into many languages, and was a primary resource for teaching medicine around the world, through the Renaissance and beyond.",1.1 What Our Ancestors Knew,"['organ', 'organism']","['Describe how our ancestors improved food with the use of invisible microbes', 'Describe how the causes of sickness and disease were explained in ancient times, prior to the invention of the microscope', 'Describe key historical events associated with the birth of microbiology']","{'chapter': 'An Invisible World', 'section_id': '1.1', 'chunk_type': 'content_paragraph'}",,
1.1_heading_25,heading,Check Your Understanding,1.1 What Our Ancestors Knew,[],"['Describe how our ancestors improved food with the use of invisible microbes', 'Describe how the causes of sickness and disease were explained in ancient times, prior to the invention of the microscope', 'Describe key historical events associated with the birth of microbiology']","{'chapter': 'An Invisible World', 'section_id': '1.1', 'chunk_type': 'heading', 'heading_level': 'h2'}",,
1.1_heading_27,heading,The Birth of Microbiology,1.1 What Our Ancestors Knew,[],"['Describe how our ancestors improved food with the use of invisible microbes', 'Describe how the causes of sickness and disease were explained in ancient times, prior to the invention of the microscope', 'Describe key historical events associated with the birth of microbiology']","{'chapter': 'An Invisible World', 'section_id': '1.1', 'chunk_type': 'heading', 'heading_level': 'h2'}",,
1.1_content_28,text,"While the ancients may have suspected the existence of invisible “minute creatures,” it wasn’t until the invention of the microscope that their existence was definitively confirmed. While it is unclear who exactly invented the microscope, a Dutch cloth merchant named Antonie van Leeuwenhoek (1632–1723) was the first to develop a lens powerful enough to view microbes. In 1675, using a simple but powerful microscope, Leeuwenhoek was able to observe single-celled organisms, which he described as “animalcules” or “wee little beasties,” swimming in a drop of rain water. From his drawings of these little organisms, we now know he was looking at bacteria and protists. (We will explore Leeuwenhoek’s contributions to microscopy further in How We See the Invisible World.)",1.1 What Our Ancestors Knew,"['cell', 'organ', 'organism']","['Describe how our ancestors improved food with the use of invisible microbes', 'Describe how the causes of sickness and disease were explained in ancient times, prior to the invention of the microscope', 'Describe key historical events associated with the birth of microbiology']","{'chapter': 'An Invisible World', 'section_id': '1.1', 'chunk_type': 'content_paragraph'}",,
1.1_content_29,text,"Nearly 200 years after van Leeuwenhoek got his first glimpse of microbes, the “Golden Age of Microbiology” spawned a host of new discoveries between 1857 and 1914. Two famous microbiologists, Louis Pasteur and Robert Koch, were especially active in advancing our understanding of the unseen world of microbes (Figure 1.6). Pasteur, a French chemist, showed that individual microbial strains had unique properties and demonstrated that fermentation is caused by microorganisms. He also invented pasteurization, a process used to kill microorganisms responsible for spoilage, and developed vaccines for the treatment of diseases, including rabies, in animals and humans. Koch, a German physician, was the first to demonstrate the connection between a single, isolated microbe and a known human disease. For example, he discovered the bacteria that cause anthrax (Bacillus anthracis), cholera (Vibrio cholera), and tuberculosis (Mycobacterium tuberculosis).9 We will discuss these famous microbiologists, and others, in later chapters.",1.1 What Our Ancestors Knew,"['organ', 'organism']","['Describe how our ancestors improved food with the use of invisible microbes', 'Describe how the causes of sickness and disease were explained in ancient times, prior to the invention of the microscope', 'Describe key historical events associated with the birth of microbiology']","{'chapter': 'An Invisible World', 'section_id': '1.1', 'chunk_type': 'content_paragraph'}",,
1.1_content_30,text,"As microbiology has developed, it has allowed the broader discipline of biology to grow and flourish in previously unimagined ways. Much of what we know about human cells comes from our understanding of microbes, and many of the tools we use today to study cells and their genetics derive from work with microbes.",1.1 What Our Ancestors Knew,"['cell', 'gene']","['Describe how our ancestors improved food with the use of invisible microbes', 'Describe how the causes of sickness and disease were explained in ancient times, prior to the invention of the microscope', 'Describe key historical events associated with the birth of microbiology']","{'chapter': 'An Invisible World', 'section_id': '1.1', 'chunk_type': 'content_paragraph'}",,
1.1_heading_31,heading,Check Your Understanding,1.1 What Our Ancestors Knew,[],"['Describe how our ancestors improved food with the use of invisible microbes', 'Describe how the causes of sickness and disease were explained in ancient times, prior to the invention of the microscope', 'Describe key historical events associated with the birth of microbiology']","{'chapter': 'An Invisible World', 'section_id': '1.1', 'chunk_type': 'heading', 'heading_level': 'h2'}",,
1.1_heading_33,heading,Micro Connections,1.1 What Our Ancestors Knew,[],"['Describe how our ancestors improved food with the use of invisible microbes', 'Describe how the causes of sickness and disease were explained in ancient times, prior to the invention of the microscope', 'Describe key historical events associated with the birth of microbiology']","{'chapter': 'An Invisible World', 'section_id': '1.1', 'chunk_type': 'heading', 'heading_level': 'h2'}",,
1.1_heading_34,heading,Microbiology Toolbox,1.1 What Our Ancestors Knew,[],"['Describe how our ancestors improved food with the use of invisible microbes', 'Describe how the causes of sickness and disease were explained in ancient times, prior to the invention of the microscope', 'Describe key historical events associated with the birth of microbiology']","{'chapter': 'An Invisible World', 'section_id': '1.1', 'chunk_type': 'heading', 'heading_level': 'h3'}",,
1.1_content_35,text,"Because individual microbes are generally too small to be seen with the naked eye, the science of microbiology is dependent on technology that can artificially enhance the capacity of our natural senses of perception. Early microbiologists like Pasteur and Koch had fewer tools at their disposal than are found in modern laboratories, making their discoveries and innovations that much more impressive. Later chapters of this text will explore many applications of technology in depth, but for now, here is a brief overview of some of the fundamental tools of the microbiology lab.",1.1 What Our Ancestors Knew,['gene'],"['Describe how our ancestors improved food with the use of invisible microbes', 'Describe how the causes of sickness and disease were explained in ancient times, prior to the invention of the microscope', 'Describe key historical events associated with the birth of microbiology']","{'chapter': 'An Invisible World', 'section_id': '1.1', 'chunk_type': 'content_paragraph'}",,
1.1_figure_1.2,multimodal,"Figure 1.2: Figure 
1.2
 
(a) A lumbar puncture is used to take a sample of a patient’s cerebrospinal fluid (CSF) for testing.",1.1 What Our Ancestors Knew,"['visual learning', 'diagram']",,"{'chapter': 'An Invisible World', 'section_id': '1.1', 'figure_number': '1.2', 'chunk_type': 'educational_figure'}",https://openstax.org/apps/image-cdn/v1/f=webp/apps/archive/20250827.171612/resources/7b7802f33f95189707436d04386f249d4a3bd689,Figure a is a drawing of a person lying on their side with their back showing. An overlay drawing shows the location of the spine with an arrow pointing to between two vertebrae in the lower back. Figure b is a photograph of a covered test tube containing a clear liquid
1.1_figure_1.3,multimodal,"Figure 1.3: Figure 
1.3
 
A microscopic view of Saccharomyces cerevisiae, the yeast responsible for making bread rise (left).",1.1 What Our Ancestors Knew,"['visual learning', 'diagram']",,"{'chapter': 'An Invisible World', 'section_id': '1.1', 'figure_number': '1.3', 'chunk_type': 'educational_figure'}",https://openstax.org/apps/image-cdn/v1/f=webp/apps/archive/20250827.171612/resources/59fd3c7eff0dc7315946401158984e5baa949194,The figure on the left shows oval cells with smaller oval cells budding from the larger cells. An arrow points to a mason jar containing a creamy textured thick liquid. Another arrow points to a loaf of bread.
1.1_figure_1.4,multimodal,"Figure 1.4: Figure 
1.4
 
(a) The Cloaca Maxima, or “Greatest Sewer” (shown in red), ran through ancient Rome.",1.1 What Our Ancestors Knew,"['visual learning', 'diagram']",,"{'chapter': 'An Invisible World', 'section_id': '1.1', 'figure_number': '1.4', 'chunk_type': 'educational_figure'}",https://openstax.org/apps/image-cdn/v1/f=webp/apps/archive/20250827.171612/resources/88592c501269473a2a44ec84c3bcd3e93f6fa4e8,"Figure a is a map of a city containing a stadium, forum, and other structures. Running through the center of the city is a red line. Figure b is a photograph of a corner of a room. There is a trough between the walls and the floor. This trough is covered with stone benches that have large holes (as for a toilet) in the bench. The holes span the top and front of the bench. There are six holes visible in the bench that runs along one side of the image and two more in the bench along the other side. The image does not show the entire room so there are likely more available spots in this room."
1.1_figure_1.5,multimodal,"Figure 1.5: Figure 
1.5
 
(a) Hippocrates, the “father of Western medicine,” believed that diseases had natural, not supernatural, causes.",1.1 What Our Ancestors Knew,"['visual learning', 'diagram']",,"{'chapter': 'An Invisible World', 'section_id': '1.1', 'figure_number': '1.5', 'chunk_type': 'educational_figure'}",https://openstax.org/apps/image-cdn/v1/f=webp/apps/archive/20250827.171612/resources/1777f1aa7845c99922bfc7536c8bafe9245bb5ba,Figure a is a drawing of a bust of Hippocrates. Figure b is a photo of a sculpture of Thucydides’s head. Figure c is a photo of a sculpture of Marcus Terentius Varro.
1.1_figure_1.6,multimodal,"Figure 1.6: Figure 
1.6
 
(a) Louis Pasteur (1822–1895) is credited with numerous innovations that advanced the fields of microbiology and immunology.",1.1 What Our Ancestors Knew,"['visual learning', 'diagram']",,"{'chapter': 'An Invisible World', 'section_id': '1.1', 'figure_number': '1.6', 'chunk_type': 'educational_figure'}",https://openstax.org/apps/image-cdn/v1/f=webp/apps/archive/20250827.171612/resources/e50bcd417b80a424c6ab7e9499b79b16de059b2f,Figure a is a drawing of Louis Pasteur in his lab. Figure b is a photograph of Robert Koch.
1.1_figure_1.7,multimodal,"Figure 1.7: Figure 
1.7
 
(a) This Petri dish filled with agar has been streaked with Legionella, the bacterium responsible for causing Legionnaire’s disease.",1.1 What Our Ancestors Knew,"['visual learning', 'diagram']",,"{'chapter': 'An Invisible World', 'section_id': '1.1', 'figure_number': '1.7', 'chunk_type': 'educational_figure'}",https://openstax.org/apps/image-cdn/v1/f=webp/apps/archive/20250827.171612/resources/4d8ae09285ddae4a6dedf474999e0c01af9c25d6,Figure a is a photograph of a round disk streaked with lines. The thickest lines go back and forth along an area spanning one fifth of the plate. The next fifth of the plate also has thick lines. The next fifth of the plate has thinner lines that are made of tiny dots. The final fifth of the pate only has large dots. Figure b shows a hand holding a metal rod that is the diameter of a pretzel stick; projecting from tis is a thick wire that is formed into a loop at the end.
1.2_heading_0,heading,Learning Objectives,1.2 A Systematic Approach,[],"['Describe how microorganisms are classified and distinguished as unique species', 'Compare historical and current systems of taxonomy used to classify microorganisms']","{'chapter': 'An Invisible World', 'section_id': '1.2', 'chunk_type': 'heading', 'heading_level': 'h2'}",,
1.2_content_2,text,"Once microbes became visible to humans with the help of microscopes, scientists began to realize their enormous diversity. Microorganisms vary in all sorts of ways, including their size, their appearance, and their rates of reproduction. To study this incredibly diverse new array of organisms, researchers needed a way to systematically organize them.",1.2 A Systematic Approach,"['organ', 'organism']","['Describe how microorganisms are classified and distinguished as unique species', 'Compare historical and current systems of taxonomy used to classify microorganisms']","{'chapter': 'An Invisible World', 'section_id': '1.2', 'chunk_type': 'content_paragraph'}",,
1.2_heading_3,heading,The Science of Taxonomy,1.2 A Systematic Approach,[],"['Describe how microorganisms are classified and distinguished as unique species', 'Compare historical and current systems of taxonomy used to classify microorganisms']","{'chapter': 'An Invisible World', 'section_id': '1.2', 'chunk_type': 'heading', 'heading_level': 'h2'}",,
1.2_content_4,text,"Taxonomy is the classification, description, identification, and naming of living organisms. Classification is the practice of organizing organisms into different groups based on their shared characteristics. The most famous early taxonomist was a Swedish botanist, zoologist, and physician named Carolus Linnaeus (1701–1778). In 1735, Linnaeus published Systema Naturae, an 11-page booklet in which he proposed the Linnaean taxonomy, a system of categorizing and naming organisms using a standard format so scientists could discuss organisms using consistent terminology. He continued to revise and add to the book, which grew into multiple volumes (Figure 1.8).",1.2 A Systematic Approach,"['organ', 'organism']","['Describe how microorganisms are classified and distinguished as unique species', 'Compare historical and current systems of taxonomy used to classify microorganisms']","{'chapter': 'An Invisible World', 'section_id': '1.2', 'chunk_type': 'content_paragraph'}",,
1.2_content_5,text,"In his taxonomy, Linnaeus divided the natural world into three kingdoms: animal, plant, and mineral (the mineral kingdom was later abandoned). Within the animal and plant kingdoms, he grouped organisms using a hierarchy of increasingly specific levels and sublevels based on their similarities. The names of the levels in Linnaeus’s original taxonomy were kingdom, class, order, family, genus (plural: genera), and species. Species was, and continues to be, the most specific and basic taxonomic unit.",1.2 A Systematic Approach,"['organ', 'organism', 'gene', 'species']","['Describe how microorganisms are classified and distinguished as unique species', 'Compare historical and current systems of taxonomy used to classify microorganisms']","{'chapter': 'An Invisible World', 'section_id': '1.2', 'chunk_type': 'content_paragraph'}",,
1.2_heading_6,heading,Evolving Trees of Life (Phylogenies),1.2 A Systematic Approach,[],"['Describe how microorganisms are classified and distinguished as unique species', 'Compare historical and current systems of taxonomy used to classify microorganisms']","{'chapter': 'An Invisible World', 'section_id': '1.2', 'chunk_type': 'heading', 'heading_level': 'h3'}",,
