chunk_id,content_type,text,section,concepts,learning_objectives,metadata,image_url,image_description
2.1_heading_8,heading,Interactions of Light,2.1 The Properties of Light,[],"['Identify and define the characteristics of electromagnetic radiation (EMR) used in microscopy', 'Explain how lenses are used in microscopy to manipulate visible and ultraviolet (UV) light']","{'chapter': 'How We See the Invisible World', 'section_id': '2.1', 'chunk_type': 'heading', 'heading_level': 'h2'}",,
2.1_content_9,text,"Light waves interact with materials by being reflected, absorbed, or transmitted. Reflection occurs when a wave bounces off of a material. For example, a red piece of cloth may reflect red light to our eyes while absorbing other colors of light. Absorbance occurs when a material captures the energy of a light wave. In the case of glow-in-the-dark plastics, the energy from light can be absorbed and then later re-emitted as another form of phosphorescence. Transmission occurs when a wave travels through a material, like light through glass (the process of transmission is called transmittance). When a material allows a large proportion of light to be transmitted, it may do so because it is thinner, or more transparent (having more transparency and less opacity). Figure 2.3 illustrates the difference between transparency and opacity.",2.1 The Properties of Light,[],"['Identify and define the characteristics of electromagnetic radiation (EMR) used in microscopy', 'Explain how lenses are used in microscopy to manipulate visible and ultraviolet (UV) light']","{'chapter': 'How We See the Invisible World', 'section_id': '2.1', 'chunk_type': 'content_paragraph'}",,
2.1_content_10,text,"Light waves can also interact with each other by interference, creating complex patterns of motion. Dropping two pebbles into a puddle causes the waves on the puddle’s surface to interact, creating complex interference patterns. Light waves can interact in the same way.",2.1 The Properties of Light,[],"['Identify and define the characteristics of electromagnetic radiation (EMR) used in microscopy', 'Explain how lenses are used in microscopy to manipulate visible and ultraviolet (UV) light']","{'chapter': 'How We See the Invisible World', 'section_id': '2.1', 'chunk_type': 'content_paragraph'}",,
2.1_content_11,text,"In addition to interfering with each other, light waves can also interact with small objects or openings by bending or scattering. This is called diffraction. Diffraction is larger when the object is smaller relative to the wavelength of the light (the distance between two consecutive peaks of a light wave). Often, when waves diffract in different directions around an obstacle or opening, they will interfere with each other.",2.1 The Properties of Light,[],"['Identify and define the characteristics of electromagnetic radiation (EMR) used in microscopy', 'Explain how lenses are used in microscopy to manipulate visible and ultraviolet (UV) light']","{'chapter': 'How We See the Invisible World', 'section_id': '2.1', 'chunk_type': 'content_paragraph'}",,
2.1_heading_12,heading,Check Your Understanding,2.1 The Properties of Light,[],"['Identify and define the characteristics of electromagnetic radiation (EMR) used in microscopy', 'Explain how lenses are used in microscopy to manipulate visible and ultraviolet (UV) light']","{'chapter': 'How We See the Invisible World', 'section_id': '2.1', 'chunk_type': 'heading', 'heading_level': 'h2'}",,
2.1_heading_14,heading,Lenses and Refraction,2.1 The Properties of Light,[],"['Identify and define the characteristics of electromagnetic radiation (EMR) used in microscopy', 'Explain how lenses are used in microscopy to manipulate visible and ultraviolet (UV) light']","{'chapter': 'How We See the Invisible World', 'section_id': '2.1', 'chunk_type': 'heading', 'heading_level': 'h2'}",,
2.1_content_15,text,"In the context of microscopy, refraction is perhaps the most important behavior exhibited by light waves. Refraction occurs when light waves change direction as they enter a new medium (Figure 2.4). Different transparent materials transmit light at different speeds; thus, light can change speed when passing from one material to another. This change in speed usually also causes a change in direction (refraction), with the degree of change dependent on the angle of the incoming light.",2.1 The Properties of Light,[],"['Identify and define the characteristics of electromagnetic radiation (EMR) used in microscopy', 'Explain how lenses are used in microscopy to manipulate visible and ultraviolet (UV) light']","{'chapter': 'How We See the Invisible World', 'section_id': '2.1', 'chunk_type': 'content_paragraph'}",,
2.1_content_16,text,"The extent to which a material slows transmission speed relative to empty space is called the refractive index of that material. Large differences between the refractive indices of two materials will result in a large amount of refraction when light passes from one material to the other. For example, light moves much more slowly through water than through air, so light entering water from air can change direction greatly. We say that the water has a higher refractive index than air (Figure 2.5).",2.1 The Properties of Light,[],"['Identify and define the characteristics of electromagnetic radiation (EMR) used in microscopy', 'Explain how lenses are used in microscopy to manipulate visible and ultraviolet (UV) light']","{'chapter': 'How We See the Invisible World', 'section_id': '2.1', 'chunk_type': 'content_paragraph'}",,
2.1_content_17,text,"When light crosses a boundary into a material with a higher refractive index, its direction turns to be closer to perpendicular to the boundary (i.e., more toward a normal to that boundary; see Figure 2.5). This is the principle behind lenses. We can think of a lens as an object with a curved boundary (or a collection of prisms) that collects all of the light that strikes it and refracts it so that it all meets at a single point called the image point (focus). A convex lens can be used to magnify because it can focus at closer range than the human eye, producing a larger image. Concave lenses and mirrors can also be used in microscopes to redirect the light path. Figure 2.6 shows the focal point (the image point when light entering the lens is parallel) and the focal length (the distance to the focal point) for convex and concave lenses.",2.1 The Properties of Light,[],"['Identify and define the characteristics of electromagnetic radiation (EMR) used in microscopy', 'Explain how lenses are used in microscopy to manipulate visible and ultraviolet (UV) light']","{'chapter': 'How We See the Invisible World', 'section_id': '2.1', 'chunk_type': 'content_paragraph'}",,
2.1_content_18,text,"The human eye contains a lens that enables us to see images. This lens focuses the light reflecting off of objects in front of the eye onto the surface of the retina, which is like a screen in the back of the eye. Artificial lenses placed in front of the eye (contact lenses, glasses, or microscopic lenses) focus light before it is focused (again) by the lens of the eye, manipulating the image that ends up on the retina (e.g., by making it appear larger).",2.1 The Properties of Light,[],"['Identify and define the characteristics of electromagnetic radiation (EMR) used in microscopy', 'Explain how lenses are used in microscopy to manipulate visible and ultraviolet (UV) light']","{'chapter': 'How We See the Invisible World', 'section_id': '2.1', 'chunk_type': 'content_paragraph'}",,
2.1_content_19,text,"Images are commonly manipulated by controlling the distances between the object, the lens, and the screen, as well as the curvature of the lens. For example, for a given amount of curvature, when an object is closer to the lens, the focal points are farther from the lens. As a result, it is often necessary to manipulate these distances to create a focused image on a screen. Similarly, more curvature creates image points closer to the lens and a larger image when the image is in focus. This property is often described in terms of the focal distance, or distance to the focal point.",2.1 The Properties of Light,[],"['Identify and define the characteristics of electromagnetic radiation (EMR) used in microscopy', 'Explain how lenses are used in microscopy to manipulate visible and ultraviolet (UV) light']","{'chapter': 'How We See the Invisible World', 'section_id': '2.1', 'chunk_type': 'content_paragraph'}",,
2.1_heading_20,heading,Check Your Understanding,2.1 The Properties of Light,[],"['Identify and define the characteristics of electromagnetic radiation (EMR) used in microscopy', 'Explain how lenses are used in microscopy to manipulate visible and ultraviolet (UV) light']","{'chapter': 'How We See the Invisible World', 'section_id': '2.1', 'chunk_type': 'heading', 'heading_level': 'h2'}",,
2.1_heading_22,heading,Electromagnetic Spectrum and Color,2.1 The Properties of Light,[],"['Identify and define the characteristics of electromagnetic radiation (EMR) used in microscopy', 'Explain how lenses are used in microscopy to manipulate visible and ultraviolet (UV) light']","{'chapter': 'How We See the Invisible World', 'section_id': '2.1', 'chunk_type': 'heading', 'heading_level': 'h2'}",,
2.1_content_23,text,"Visible light is just one form of electromagnetic radiation (EMR), a type of energy that is all around us. Other forms of EMR include microwaves, X-rays, and radio waves, among others. The different types of EMR fall on the electromagnetic spectrum, which is defined in terms of wavelength and frequency. The spectrum of visible light occupies a relatively small range of frequencies between infrared and ultraviolet light (Figure 2.7).",2.1 The Properties of Light,[],"['Identify and define the characteristics of electromagnetic radiation (EMR) used in microscopy', 'Explain how lenses are used in microscopy to manipulate visible and ultraviolet (UV) light']","{'chapter': 'How We See the Invisible World', 'section_id': '2.1', 'chunk_type': 'content_paragraph'}",,
2.1_content_24,text,"Whereas wavelength represents the distance between adjacent peaks of a light wave, frequency, in a simplified definition, represents the rate of oscillation. Waves with higher frequencies have shorter wavelengths and, therefore, have more oscillations per unit time than lower-frequency waves. Higher-frequency waves also contain more energy than lower-frequency waves. This energy is delivered as elementary particles called photons. Higher-frequency waves deliver more energetic photons than lower-frequency waves.",2.1 The Properties of Light,[],"['Identify and define the characteristics of electromagnetic radiation (EMR) used in microscopy', 'Explain how lenses are used in microscopy to manipulate visible and ultraviolet (UV) light']","{'chapter': 'How We See the Invisible World', 'section_id': '2.1', 'chunk_type': 'content_paragraph'}",,
2.1_content_25,text,"Photons with different energies interact differently with the retina. In the spectrum of visible light, each color corresponds to a particular frequency and wavelength (Figure 2.7).The lowest frequency of visible light appears as the color red, whereas the highest appears as the color violet. When the retina receives visible light of many different frequencies, we perceive this as white light. However, white light can be separated into its component colors using refraction. If we pass white light through a prism, different colors will be refracted in different directions, creating a rainbow-like spectrum on a screen behind the prism. This separation of colors is called dispersion, and it occurs because, for a given material, the refractive index is different for different frequencies of light.",2.1 The Properties of Light,[],"['Identify and define the characteristics of electromagnetic radiation (EMR) used in microscopy', 'Explain how lenses are used in microscopy to manipulate visible and ultraviolet (UV) light']","{'chapter': 'How We See the Invisible World', 'section_id': '2.1', 'chunk_type': 'content_paragraph'}",,
2.1_content_26,text,"Certain materials can refract nonvisible forms of EMR and, in effect, transform them into visible light. Certain fluorescent dyes, for instance, absorb ultraviolet or blue light and then use the energy to emit photons of a different color, giving off light rather than simply vibrating. This occurs because the energy absorption causes electrons to jump to higher energy states, after which they then almost immediately fall back down to their ground states, emitting specific amounts of energy as photons. Not all of the energy is emitted in a given photon, so the emitted photons will be of lower energy and, thus, of lower frequency than the absorbed ones. Thus, a dye such as Texas red may be excited by blue light, but emit red light; or a dye such as fluorescein isothiocyanate (FITC) may absorb (invisible) high-energy ultraviolet light and emit green light (Figure 2.8). In some materials, the photons may be emitted following a delay after absorption; in this case, the process is called phosphorescence. Glow-in-the-dark plastic works by using phosphorescent material.",2.1 The Properties of Light,[],"['Identify and define the characteristics of electromagnetic radiation (EMR) used in microscopy', 'Explain how lenses are used in microscopy to manipulate visible and ultraviolet (UV) light']","{'chapter': 'How We See the Invisible World', 'section_id': '2.1', 'chunk_type': 'content_paragraph'}",,
2.1_heading_27,heading,Check Your Understanding,2.1 The Properties of Light,[],"['Identify and define the characteristics of electromagnetic radiation (EMR) used in microscopy', 'Explain how lenses are used in microscopy to manipulate visible and ultraviolet (UV) light']","{'chapter': 'How We See the Invisible World', 'section_id': '2.1', 'chunk_type': 'heading', 'heading_level': 'h2'}",,
2.1_heading_29,heading,"Magnification, Resolution, and Contrast",2.1 The Properties of Light,[],"['Identify and define the characteristics of electromagnetic radiation (EMR) used in microscopy', 'Explain how lenses are used in microscopy to manipulate visible and ultraviolet (UV) light']","{'chapter': 'How We See the Invisible World', 'section_id': '2.1', 'chunk_type': 'heading', 'heading_level': 'h2'}",,
2.1_content_30,text,"Microscopes magnify images and use the properties of light to create useful images of small objects. Magnification is defined as the ability of a lens to enlarge the image of an object when compared to the real object. For example, a magnification of 10⨯ means that the image appears 10 times the size of the object as viewed with the naked eye.",2.1 The Properties of Light,[],"['Identify and define the characteristics of electromagnetic radiation (EMR) used in microscopy', 'Explain how lenses are used in microscopy to manipulate visible and ultraviolet (UV) light']","{'chapter': 'How We See the Invisible World', 'section_id': '2.1', 'chunk_type': 'content_paragraph'}",,
2.1_content_31,text,"Greater magnification typically improves our ability to see details of small objects, but magnification alone is not sufficient to make the most useful images. It is often useful to enhance the resolution of objects: the ability to tell that two separate points or objects are separate. A low-resolution image appears fuzzy, whereas a high-resolution image appears sharp. Two factors affect resolution. The first is wavelength. Shorter wavelengths are able to resolve smaller objects; thus, an electron microscope has a much higher resolution than a light microscope, since it uses an electron beam with a very short wavelength, as opposed to the long-wavelength visible light used by a light microscope. The second factor that affects resolution is numerical aperture, which is a measure of a lens’s ability to gather light. The higher the numerical aperture, the better the resolution.",2.1 The Properties of Light,[],"['Identify and define the characteristics of electromagnetic radiation (EMR) used in microscopy', 'Explain how lenses are used in microscopy to manipulate visible and ultraviolet (UV) light']","{'chapter': 'How We See the Invisible World', 'section_id': '2.1', 'chunk_type': 'content_paragraph'}",,
2.1_heading_32,heading,Link to Learning,2.1 The Properties of Light,[],"['Identify and define the characteristics of electromagnetic radiation (EMR) used in microscopy', 'Explain how lenses are used in microscopy to manipulate visible and ultraviolet (UV) light']","{'chapter': 'How We See the Invisible World', 'section_id': '2.1', 'chunk_type': 'heading', 'heading_level': 'h2'}",,
2.1_content_33,text,Read this article to learn more about factors that can increase or decrease the numerical aperture of a lens.,2.1 The Properties of Light,[],"['Identify and define the characteristics of electromagnetic radiation (EMR) used in microscopy', 'Explain how lenses are used in microscopy to manipulate visible and ultraviolet (UV) light']","{'chapter': 'How We See the Invisible World', 'section_id': '2.1', 'chunk_type': 'content_paragraph'}",,
2.1_content_34,text,"Even when a microscope has high resolution, it can be difficult to distinguish small structures in many specimens because microorganisms are relatively transparent. It is often necessary to increase contrast to detect different structures in a specimen. Various types of microscopes use different features of light or electrons to increase contrast—visible differences between the parts of a specimen (see Instruments of Microscopy). Additionally, dyes that bind to some structures but not others can be used to improve the contrast between images of relatively transparent objects (see Staining Microscopic Specimens).",2.1 The Properties of Light,"['organ', 'organism']","['Identify and define the characteristics of electromagnetic radiation (EMR) used in microscopy', 'Explain how lenses are used in microscopy to manipulate visible and ultraviolet (UV) light']","{'chapter': 'How We See the Invisible World', 'section_id': '2.1', 'chunk_type': 'content_paragraph'}",,
2.1_heading_35,heading,Check Your Understanding,2.1 The Properties of Light,[],"['Identify and define the characteristics of electromagnetic radiation (EMR) used in microscopy', 'Explain how lenses are used in microscopy to manipulate visible and ultraviolet (UV) light']","{'chapter': 'How We See the Invisible World', 'section_id': '2.1', 'chunk_type': 'heading', 'heading_level': 'h2'}",,
2.1_figure_2.2,multimodal,"Figure 2.2: Figure 
2.2
 
(a) The amplitude is the height of a wave, whereas the wavelength is the distance between one peak and the next.",2.1 The Properties of Light,"['visual learning', 'diagram']",,"{'chapter': 'How We See the Invisible World', 'section_id': '2.1', 'figure_number': '2.2', 'chunk_type': 'educational_figure'}",https://openstax.org/apps/image-cdn/v1/f=webp/apps/archive/20250827.171612/resources/9331089a4ae3d618466077b8989ffd0b951135df,Figure a shows a wavy line with evenly repeating waves upwards and downwards. A straight line through the center of the wavy line indicates the base of the waves. The distance from the peak of one wave to another is the wavelength. The distance from the baseline to the peak of a wave or the distance from the baseline to the trough of a wave is called the amplitude. Figure b shows three waves with unit time labeled across the bottom. The top line has waves that are widely spread apart. Waves with a wide wavelength have a low frequency. The bottom line has waves that are close together. Waves with a narrow wavelength have a high frequency. The middle line has a medium wavelength and therefore a medium frequency.
2.1_figure_2.3,multimodal,"Figure 2.3: Figure 
2.3
 
(a) A Petri dish is made of transparent plastic or glass, which allows transmission of a high proportion of light.",2.1 The Properties of Light,"['visual learning', 'diagram']",,"{'chapter': 'How We See the Invisible World', 'section_id': '2.1', 'figure_number': '2.3', 'chunk_type': 'educational_figure'}",https://openstax.org/apps/image-cdn/v1/f=webp/apps/archive/20250827.171612/resources/80af897531c85522c7bc981424b110d6990367c2,Figure a shows the tips of a person’s gloved hands holding a clear plate with a lid. The plate contains a reddish material in the bottom of the plate. Figure b shows a piece of metal in a person’s hands. The material is dark with some shiny regions.
2.1_figure_2.4,multimodal,"Figure 2.4: Figure 
2.4
 
(a) Refraction occurs when light passes from one medium, such as air, to another, such as glass, changing the direction of the light rays.",2.1 The Properties of Light,"['visual learning', 'diagram']",,"{'chapter': 'How We See the Invisible World', 'section_id': '2.1', 'figure_number': '2.4', 'chunk_type': 'educational_figure'}",https://openstax.org/apps/image-cdn/v1/f=webp/apps/archive/20250827.171612/resources/8944fd6e8a4e08035023b4a031242c564b31f938,"Picture a shows a light beam aimed at a piece of glass. When the light beam hits the transparent glass material it bends by approximately 45°. This bent light ray is the refracted ray. The opaque material which the glass is sitting upon does not have any light shining through it. Diagram b shows an arrow labeled incident ray pointing at a 45° angle down towards a shaded region. At the point where the incident ray reaches the shaded region, two other arrows begin. One of these arrows points at a 90° angle from the incident ray (and away from the shaded region) and is the reflected ray. The second arrow continues through the shaded region but at a slightly bent angle from the incident ray. This second arrow is the reflected ray."
2.1_figure_2.5,multimodal,"Figure 2.5: Figure 
2.5
 
This straight pole appears to bend at an angle as it enters the water.",2.1 The Properties of Light,"['visual learning', 'diagram']",,"{'chapter': 'How We See the Invisible World', 'section_id': '2.1', 'figure_number': '2.5', 'chunk_type': 'educational_figure'}",https://openstax.org/apps/image-cdn/v1/f=webp/apps/archive/20250827.171612/resources/c5d9b117cddf1cf65f594d8f491eaaf8e18723d6,A photo shows a pole being placed in water. The pole looks like it bends where it hits the water.
2.1_figure_2.6,multimodal,"Figure 2.6: Figure 
2.6
 
(a) A lens is like a collection of prisms, such as the one shown here.",2.1 The Properties of Light,"['visual learning', 'diagram']",,"{'chapter': 'How We See the Invisible World', 'section_id': '2.1', 'figure_number': '2.6', 'chunk_type': 'educational_figure'}",https://openstax.org/apps/image-cdn/v1/f=webp/apps/archive/20250827.171612/resources/bcaeebc796092b5a677bc07df336f554919c9246,"Diagram a (prism) shows a clear pyramid with light entering one surface. The light leaving the other surface is bent and is the refracted light. A dotted line indicates the path the original light beam would have taken had it not bent. The region above the dotted line is labeled high refractive index; the region below the line is labeled low refractive index. Diagram b (convex lens) shows a lens with a bulge in the center. Light enters one either side of the dome and is focused to a point past the lens and in line with the center of the dome. The point at which the light focuses is the focal point; the distance from the focal point to the center of the lens is the focal length. Diagram c (concave lens) shows a lens that curves inward on either side. Light entering this lens is bent outwards, away from the center of the lens’s curve. A dotted line shows the linear path backwards for each of the bent light beams. The point at which all the dotted lines meet (which is on the other side of the lens) is the focal point."
2.1_figure_2.7,multimodal,"Figure 2.7: Figure 
2.7
 
The electromagnetic spectrum ranges from high-frequency gamma rays to low-frequency radio waves.",2.1 The Properties of Light,"['visual learning', 'diagram']",,"{'chapter': 'How We See the Invisible World', 'section_id': '2.1', 'figure_number': '2.7', 'chunk_type': 'educational_figure'}",https://openstax.org/apps/image-cdn/v1/f=webp/apps/archive/20250827.171612/resources/15b42bf6b34482d8e0184b1150849e5eb275cc8f,"A series of scales indicate that the image shows the lowest wavelength (10 superscript -18 m) on the left and the highest wavelength (10 superscript 6 m) on the right. The frequencies range from over 10 superscript 24 Hzon the left to 1 Hz on the right. The energies range from 10 superscript 12 ev on the left to 10 superscript -12 on the right. The types of radiation listed above these scales (from left to right) is: cosmic radiation, gamma rays, X-rays, ultra-violet, visible, infrared, Terahertz radiation, radar, television and radion broadcasting, and AC circuits. The visible light portion of the spectrum is pulled out and shows blue light at 400 nm, green light at 500 nm, yellow light at 600 nm, and red light at 700 nm."
2.1_figure_2.8,multimodal,"Figure 2.8: Figure 
2.8
 
The fluorescent dyes absorbed by these bovine pulmonary artery endothelial cells emit brilliant colors when excited by ultraviolet light under a fluorescence microscope.",2.1 The Properties of Light,"['visual learning', 'diagram']",,"{'chapter': 'How We See the Invisible World', 'section_id': '2.1', 'figure_number': '2.8', 'chunk_type': 'educational_figure'}",https://openstax.org/apps/image-cdn/v1/f=webp/apps/archive/20250827.171612/resources/ccbbcbdad64284714ef570d0a109f5cae573c099,An image shows a large cell in the foreground and other cells further in the background. Each cell has an irregular shape with a large blue circle in the center. Green lines surround the blue circle and span out towards the edges of the cell. The rest of the cell is red with a bright red edge. The background of the image is black.
2.3_heading_0,heading,Learning Objectives,2.3 Instruments of Microscopy,[],"['Identify and describe the parts of a brightfield microscope', 'Calculate total magnification for a compound microscope', 'Describe the distinguishing features and typical uses for various types of light microscopes, electron microscopes, and scanning probe microscopes']","{'chapter': 'How We See the Invisible World', 'section_id': '2.3', 'chunk_type': 'heading', 'heading_level': 'h2'}",,
2.3_content_2,text,"The early pioneers of microscopy opened a window into the invisible world of microorganisms. But microscopy continued to advance in the centuries that followed. In 1830, Joseph Jackson Lister created an essentially modern light microscope. The 20th century saw the development of microscopes that leveraged nonvisible light, such as fluorescence microscopy, which uses an ultraviolet light source, and electron microscopy, which uses short-wavelength electron beams. These advances led to major improvements in magnification, resolution, and contrast. By comparison, the relatively rudimentary microscopes of van Leeuwenhoek and his contemporaries were far less powerful than even the most basic microscopes in use today. In this section, we will survey the broad range of modern microscopic technology and common applications for each type of microscope.",2.3 Instruments of Microscopy,"['organ', 'organism']","['Identify and describe the parts of a brightfield microscope', 'Calculate total magnification for a compound microscope', 'Describe the distinguishing features and typical uses for various types of light microscopes, electron microscopes, and scanning probe microscopes']","{'chapter': 'How We See the Invisible World', 'section_id': '2.3', 'chunk_type': 'content_paragraph'}",,
2.3_heading_3,heading,Light Microscopy,2.3 Instruments of Microscopy,[],"['Identify and describe the parts of a brightfield microscope', 'Calculate total magnification for a compound microscope', 'Describe the distinguishing features and typical uses for various types of light microscopes, electron microscopes, and scanning probe microscopes']","{'chapter': 'How We See the Invisible World', 'section_id': '2.3', 'chunk_type': 'heading', 'heading_level': 'h2'}",,
2.3_content_4,text,"Many types of microscopes fall under the category of light microscopes, which use light to visualize images. Examples of light microscopes include brightfield microscopes, darkfield microscopes, phase-contrast microscopes, differential interference contrast microscopes, fluorescence microscopes, confocal scanning laser microscopes, and two-photon microscopes. These various types of light microscopes can be used to complement each other in diagnostics and research.",2.3 Instruments of Microscopy,[],"['Identify and describe the parts of a brightfield microscope', 'Calculate total magnification for a compound microscope', 'Describe the distinguishing features and typical uses for various types of light microscopes, electron microscopes, and scanning probe microscopes']","{'chapter': 'How We See the Invisible World', 'section_id': '2.3', 'chunk_type': 'content_paragraph'}",,
2.3_heading_5,heading,Brightfield Microscopes,2.3 Instruments of Microscopy,[],"['Identify and describe the parts of a brightfield microscope', 'Calculate total magnification for a compound microscope', 'Describe the distinguishing features and typical uses for various types of light microscopes, electron microscopes, and scanning probe microscopes']","{'chapter': 'How We See the Invisible World', 'section_id': '2.3', 'chunk_type': 'heading', 'heading_level': 'h3'}",,
2.3_content_6,text,"The brightfield microscope, perhaps the most commonly used type of microscope, is a compound microscope with two or more lenses that produce a dark image on a bright background. Some brightfield microscopes are monocular (having a single eyepiece), though most newer brightfield microscopes are binocular (having two eyepieces), like the one shown in Figure 2.12; in either case, each eyepiece contains a lens called an ocular lens. The ocular lenses typically magnify images 10 times (10⨯). At the other end of the body tube are a set of objective lenses on a rotating nosepiece. The magnification of these objective lenses typically ranges from 4⨯ to 100⨯, with the magnification for each lens designated on the metal casing of the lens. The ocular and objective lenses work together to create a magnified image. The total magnification is the product of the ocular magnification times the objective magnification:",2.3 Instruments of Microscopy,[],"['Identify and describe the parts of a brightfield microscope', 'Calculate total magnification for a compound microscope', 'Describe the distinguishing features and typical uses for various types of light microscopes, electron microscopes, and scanning probe microscopes']","{'chapter': 'How We See the Invisible World', 'section_id': '2.3', 'chunk_type': 'content_paragraph'}",,
2.3_content_7,text,"For example, if a 40⨯ objective lens is selected and the ocular lens is 10⨯, the total magnification would be",2.3 Instruments of Microscopy,[],"['Identify and describe the parts of a brightfield microscope', 'Calculate total magnification for a compound microscope', 'Describe the distinguishing features and typical uses for various types of light microscopes, electron microscopes, and scanning probe microscopes']","{'chapter': 'How We See the Invisible World', 'section_id': '2.3', 'chunk_type': 'content_paragraph'}",,
